22.543 23.014 200.82 0 0 10.257 1
27.91 31.502 0.54582 1 0 20.672 1
33.511 42.582 9.0185 2 1 13.932 0
4.9913 52.033 3.2783 0 0 17.932 0
5.0853 56.47 10.21 1 1 16.401 0
28.312 29.367 206.78 2 1 14.365 0
5.2813 58.04 8.0121 0 1 18.511 0
30.658 27.069 207.48 1 0 11.46 1
36.189 40.535 10.028 1 0 21.031 1
25.181 32.838 2.0972 1 1 22.452 0
27.243 35.197 6.1966 6 1 28.853 1
29.434 27.231 202.22 5 1 14.092 1
24.999 35.453 2.0677 5 1 27.845 1
23.048 35.054 1.4947 8 1 26.687 1
25.625 29.871 204.2 1 0 9.478 1
29.63 43.125 12.87 3 1 16.122 0
28.388 33.248 4.9524 3 0 21.775 1
7.9851 56.071 7.8334 5 0 20.373 1
31.048 37.797 11.636 2 1 15.243 0
32.453 40.847 13.011 2 1 16.971 0
34.301 37.664 5.0526 1 1 18.508 0
28.759 41.541 11.345 2 1 15.249 0
7.8108 58.581 3.0414 3 1 15.72 0
33.736 41.861 8.3328 2 0 16.015 1
37.429 41.226 12.928 2 1 14.927 0
26.275 29.89 2.3884 2 0 31.154 1
26.178 24.809 200.98 1 0 12.353 1
1.6226 50.896 6.7104 0 0 19.222 0
32.214 37.037 10.417 5 0 14.345 1
29.596 29.856 202.03 3 1 16.353 0
4.3449 57.982 6.7786 2 0 20.998 0
35.093 45.819 11.354 4 0 18.477 1
27.715 27.444 207.26 1 1 13.857 0
5.7177 54.167 9.4189 1 0 14.274 0
29.898 34.482 2.3762 6 1 20.491 1
27.929 27.296 202.25 2 1 10.586 0
31.714 47.043 11.506 5 1 14.082 1
4.0782 60.909 8.0513 1 0 17.681 0
33.037 38.23 10.087 1 1 13.878 0
6.762 57.822 7.4781 2 0 15.019 0
4.9196 55.763 7.2941 3 1 19.08 0
6.3253 49.858 7.178 1 1 14.698 0
31.215 34.923 199.57 2 1 15.936 0
9.2977 58.524 6.5058 1 0 16.89 0
27.187 23.479 202.03 4 0 11.396 1
22.596 28.34 206.3 2 1 15.023 0
28.746 31.224 201.13 0 0 10.165 0
23.085 30.262 202.24 3 0 13.281 1
22.597 33.435 1.6345 4 0 27.137 1
33.371 39.745 9.6894 0 1 17.157 0
30.278 24.576 206.08 0 1 15.161 0
35.098 30.332 205.93 3 1 13.866 1
29.425 25.986 202.74 7 1 12.863 1
25.804 35.218 1.8499 4 0 20.659 1
25.463 27.184 205.09 2 1 10.975 0
29.973 32.211 3.0077 5 0 25.126 1
0.25425 58.857 5.1126 1 0 22.582 0
26.762 43.061 6.7378 2 1 15.963 0
24.409 33.769 1.8945 1 1 26.261 0
7.476 56.849 3.5217 1 1 21.715 0
1.0546 50.572 8.871 4 1 17.934 0
28.606 44.016 12.547 4 0 17.792 1
29.313 39.785 1.6326 5 1 27.589 1
23.956 31.922 0.88365 7 1 30.097 1
28.229 40.871 7.4644 3 0 11.219 1
29.001 30.885 202.29 1 1 17.099 0
25.773 30.553 203.99 0 0 17.643 0
24.285 33.33 0.60148 0 0 26.088 0
30.646 31.363 0.0083983 0 0 21.438 1
8.1396 51.185 8.6835 5 1 20.529 1
28.377 32.773 7.0308 1 0 21.251 1
6.438 54.175 9.0979 1 1 15.438 0
8.0345 51.671 6.8259 4 1 18.991 0
28.855 30.507 5.24 4 1 21.018 1
24.47 29.037 208.96 3 1 10.829 1
25.131 32.635 1.7267 1 1 26.116 0
7.9125 55.733 8.4217 5 0 17.493 1
5.8509 61.922 8.4363 6 1 15.866 1
27.456 29.243 197.92 1 1 15.821 0
33.521 37.709 7.5648 0 1 20.731 0
27.593 25.337 205.57 0 0 8.3183 0
9.6189 54.591 5.1361 5 1 20.622 1
35.751 40.37 4.7623 3 1 17.971 0
28.051 43.388 11.586 1 1 20.049 0
24.912 29.573 5.8241 2 0 25.021 1
25.147 28.999 205.41 3 1 13.41 0
27.648 30.622 2.9566 7 0 24.724 1
25.811 30.182 203.28 2 1 9.6257 0
6.0833 55.034 5.7383 1 1 19.998 0
27.78 25.691 204.45 2 0 9.5011 1
7.4688 56.69 7.6655 1 1 14.461 0
27.741 45.084 10.685 2 0 14.32 1
30.184 30.479 0.7552 4 1 22.084 1
26.335 37.382 9.1613 3 1 14.687 0
26.607 37.254 0.88125 3 1 20.742 1
32.163 36.924 8.8743 4 0 15.62 1
32.316 42.627 9.1049 3 1 16.8 0
31.002 42.654 9.1843 2 1 14.918 0
26.885 26.094 203.97 1 0 16.45 1
3.115 55.334 13.941 2 1 22.001 0
33.58 44.524 12.248 1 1 12.368 0
10.01 54.078 7.3458 2 1 19.351 0
24.974 33.095 3.3242 5 1 26.627 1
24.463 36.673 5.1444 3 0 24.196 1
29.739 34.729 0.0020779 5 0 25.349 1
28.85 30.373 202.34 2 1 11.758 0
26.246 31.541 0.1591 2 0 27.375 1
6.0525 53.58 7.0721 1 1 15.528 0
28.053 26.313 203.12 1 1 13.792 0
28.499 36.704 0.37225 7 1 23.039 1
29.713 44.297 6.9919 1 1 17.071 0
31.601 39.531 6.0301 2 0 13.837 1
25.32 38.642 10.918 1 1 15.092 0
24.996 39.048 2.9785 7 1 22.975 1
6.8439 50.447 8.7291 2 1 15.715 0
27.627 41.144 12.164 0 0 18.429 0
28.558 25.206 204.42 1 1 18.811 0
10.153 50.248 8.249 4 1 16.346 0
9.9474 56.539 7.1059 3 0 16.468 1
25.967 35.334 1.7858 2 1 24.312 0
